max_iter,system,distance,repeat,mode,eval_count,guide_cost,total_cost,energy,exact_total,abs_error_vs_fci,robust_amp,robust_guided_used
100,BeH2,0.9615384615384616,2,guided_fourier_robust,100,9,109.0,-15.370505656391586,-15.425201817554719,0.05469616116313247,0.643989384013254,True
100,H2,0.5,0,default,34,0,34.0,-1.0551597942870556,-1.055159794470623,1.8356738351599233e-10,0.0,
100,H2,0.5,0,guided_fourier_robust,36,9,45.0,-1.0551597942444386,-1.055159794470623,2.261844045392536e-10,1.1783227709084818,True
100,H2,0.5,1,default,38,0,38.0,-1.0551597941406585,-1.055159794470623,3.299645001675344e-10,0.0,
100,H2,0.5,1,guided_fourier_robust,40,9,49.0,-1.055159792564426,-1.055159794470623,1.9061969780409527e-09,1.1783227709084816,True
100,H2,0.5,2,default,36,0,36.0,-1.0551597923582483,-1.055159794470623,2.112374719587251e-09,0.0,
100,H2,0.5,2,guided_fourier_robust,36,9,45.0,-1.0551597939896238,-1.055159794470623,4.809992404375407e-10,1.1783227709084818,True
100,H2,0.6538461538461539,0,default,33,0,33.0,-1.1306196107230706,-1.1306196124696388,1.746568223381928e-09,0.0,
100,H2,0.6538461538461539,0,guided_fourier_robust,31,9,40.0,-1.1306196115369826,-1.1306196124696388,9.326561745126583e-10,0.9222882409168853,True
100,H2,0.6538461538461539,1,default,34,0,34.0,-1.1306196123009928,-1.1306196124696388,1.6864598606503023e-10,0.0,
100,H2,0.6538461538461539,1,guided_fourier_robust,43,9,52.0,-1.1306196123490633,-1.1306196124696388,1.205755495448102e-10,0.9222882409168855,True
100,H2,0.6538461538461539,2,default,34,0,34.0,-1.1306196124040304,-1.1306196124696388,6.56084075956187e-11,0.0,
100,H2,0.6538461538461539,2,guided_fourier_robust,35,9,44.0,-1.1306196119170417,-1.1306196124696388,5.525970792064072e-10,0.9222882409168855,True
100,H2,0.8076923076923077,0,default,35,0,35.0,-1.1334180058077687,-1.1334180073912137,1.5834449307305931e-09,0.0,
100,H2,0.8076923076923077,0,guided_fourier_robust,34,9,43.0,-1.1334180068386197,-1.1334180073912137,5.525939705819383e-10,0.735210173264848,True
100,H2,0.8076923076923077,1,default,35,0,35.0,-1.1334180073871876,-1.1334180073912137,4.026112776500668e-12,0.0,
100,H2,0.8076923076923077,1,guided_fourier_robust,35,9,44.0,-1.1334180065725437,-1.1334180073912137,8.186700206636033e-10,0.7352101732648479,True
100,H2,0.8076923076923077,2,default,35,0,35.0,-1.1334180062433212,-1.1334180073912137,1.1478924477614783e-09,0.0,
100,H2,0.8076923076923077,2,guided_fourier_robust,33,9,42.0,-1.1334180050693483,-1.1334180073912137,2.321865366639031e-09,0.735210173264848,True
100,H2,0.9615384615384616,0,default,38,0,38.0,-1.109059931027006,-1.1090599321341164,1.1071104033533175e-09,0.0,
100,H2,0.9615384615384616,0,guided_fourier_robust,30,9,39.0,-1.109059931955625,-1.1090599321341164,1.7849144384740612e-10,0.5983949854596444,True
100,H2,0.9615384615384616,1,default,33,0,33.0,-1.1090599321240289,-1.1090599321341164,1.0087486401744172e-11,0.0,
100,H2,0.9615384615384616,1,guided_fourier_robust,33,9,42.0,-1.109059930602681,-1.1090599321341164,1.531435422919003e-09,0.5983949854596444,True
100,H2,0.9615384615384616,2,default,39,0,39.0,-1.1090599320871313,-1.1090599321341164,4.6985082491346475e-11,0.0,
100,H2,0.9615384615384616,2,guided_fourier_robust,35,9,44.0,-1.1090599320535346,-1.1090599321341164,8.058176348413326e-11,0.5983949854596446,True
100,LiH,0.5,0,default,100,0,100.0,-6.990954750912283,-7.033795929869495,0.042841178957211845,0.0,
100,LiH,0.5,0,guided_fourier_robust,100,9,109.0,-7.013613756400425,-7.033795929869495,0.020182173469069475,0.02511084439821411,True
100,LiH,0.5,1,default,100,0,100.0,-6.99459981026177,-7.033795929869495,0.039196119607725066,0.0,
100,LiH,0.5,1,guided_fourier_robust,100,9,109.0,-7.013732467668044,-7.033795929869495,0.020063462201450832,0.0721452430781474,True
100,LiH,0.5,2,default,100,0,100.0,-7.007434703599165,-7.033795929869495,0.026361226270330107,0.0,
100,LiH,0.5,2,guided_fourier_robust,100,9,109.0,-7.014451967729705,-7.033795929869495,0.019343962139790172,0.5451805532432215,True
100,LiH,0.6538461538461539,0,default,100,0,100.0,-7.386665582068373,-7.410554190427828,0.02388860835945472,0.0,
100,LiH,0.6538461538461539,0,guided_fourier_robust,100,9,109.0,-7.387410774342324,-7.410554190427828,0.023143416085503965,0.03128842316694827,True
100,LiH,0.6538461538461539,1,default,100,0,100.0,-7.38666634012959,-7.410554190427828,0.023887850298237367,0.0,
100,LiH,0.6538461538461539,1,guided_fourier_robust,100,9,109.0,-7.311543552117994,-7.410554190427828,0.09901063830983325,0.09450093228668985,True
100,LiH,0.6538461538461539,2,default,100,0,100.0,-7.38796183966926,-7.410554190427828,0.02259235075856747,0.0,
100,LiH,0.6538461538461539,2,guided_fourier_robust,100,9,109.0,-7.391836770894809,-7.410554190427828,0.018717419533018642,0.5590166120707004,True
